# harmonic_potential   x_max = 5.000   nx = 501   N_iter = 16   beta_ini = 4.000   beta_fin = 0.000
,Position x,Prob. density
0,-5.0,
1,-4.98,
2,-4.96,
3,-4.94,
4,-4.92,
5,-4.9,
6,-4.88,
7,-4.86,
8,-4.84,
9,-4.82,
10,-4.8,
11,-4.78,
12,-4.76,
13,-4.74,
14,-4.72,
15,-4.7,
16,-4.68,
17,-4.66,
18,-4.64,
19,-4.62,
20,-4.6000000000000005,
21,-4.58,
22,-4.5600000000000005,
23,-4.54,
24,-4.5200000000000005,
25,-4.5,
26,-4.48,
27,-4.46,
28,-4.44,
29,-4.42,
30,-4.4,
31,-4.38,
32,-4.36,
33,-4.34,
34,-4.32,
35,-4.3,
36,-4.28,
37,-4.26,
38,-4.24,
39,-4.22,
40,-4.2,
41,-4.18,
42,-4.16,
43,-4.14,
44,-4.12,
45,-4.1,
46,-4.08,
47,-4.0600000000000005,
48,-4.04,
49,-4.0200000000000005,
50,-4.0,
51,-3.98,
52,-3.96,
53,-3.94,
54,-3.92,
55,-3.9,
56,-3.88,
57,-3.86,
58,-3.84,
59,-3.8200000000000003,
60,-3.8000000000000003,
61,-3.7800000000000002,
62,-3.7600000000000002,
63,-3.74,
64,-3.72,
65,-3.7,
66,-3.68,
67,-3.66,
68,-3.64,
69,-3.62,
70,-3.6,
71,-3.58,
72,-3.56,
73,-3.54,
74,-3.52,
75,-3.5,
76,-3.48,
77,-3.46,
78,-3.44,
79,-3.42,
80,-3.4,
81,-3.38,
82,-3.36,
83,-3.34,
84,-3.3200000000000003,
85,-3.3000000000000003,
86,-3.2800000000000002,
87,-3.2600000000000002,
88,-3.24,
89,-3.22,
90,-3.2,
91,-3.18,
92,-3.16,
93,-3.14,
94,-3.12,
95,-3.1,
96,-3.08,
97,-3.06,
98,-3.04,
99,-3.02,
100,-3.0,
101,-2.98,
102,-2.96,
103,-2.94,
104,-2.92,
105,-2.9,
106,-2.88,
107,-2.86,
108,-2.84,
109,-2.82,
110,-2.8000000000000003,
111,-2.7800000000000002,
112,-2.7600000000000002,
113,-2.74,
114,-2.72,
115,-2.7,
116,-2.68,
117,-2.66,
118,-2.64,
119,-2.62,
120,-2.6,
121,-2.58,
122,-2.56,
123,-2.54,
124,-2.52,
125,-2.5,
126,-2.48,
127,-2.46,
128,-2.44,
129,-2.42,
130,-2.4,
131,-2.38,
132,-2.36,
133,-2.34,
134,-2.32,
135,-2.3000000000000003,
136,-2.2800000000000002,
137,-2.2600000000000002,
138,-2.24,
139,-2.22,
140,-2.2,
141,-2.18,
142,-2.16,
143,-2.14,
144,-2.12,
145,-2.1,
146,-2.08,
147,-2.06,
148,-2.04,
149,-2.02,
150,-2.0,
151,-1.98,
152,-1.96,
153,-1.94,
154,-1.92,
155,-1.9000000000000001,
156,-1.8800000000000001,
157,-1.86,
158,-1.84,
159,-1.82,
160,-1.8,
161,-1.78,
162,-1.76,
163,-1.74,
164,-1.72,
165,-1.7,
166,-1.68,
167,-1.6600000000000001,
168,-1.6400000000000001,
169,-1.62,
170,-1.6,
171,-1.58,
172,-1.56,
173,-1.54,
174,-1.52,
175,-1.5,
176,-1.48,
177,-1.46,
178,-1.44,
179,-1.42,
180,-1.4000000000000001,
181,-1.3800000000000001,
182,-1.36,
183,-1.34,
184,-1.32,
185,-1.3,
186,-1.28,
187,-1.26,
188,-1.24,
189,-1.22,
190,-1.2,
191,-1.18,
192,-1.16,
193,-1.1400000000000001,
194,-1.12,
195,-1.1,
196,-1.08,
197,-1.06,
198,-1.04,
199,-1.02,
200,-1.0,
201,-0.98,
202,-0.96,
203,-0.9400000000000001,
204,-0.92,
205,-0.9,
206,-0.88,
207,-0.86,
208,-0.84,
209,-0.8200000000000001,
210,-0.8,
211,-0.78,
212,-0.76,
213,-0.74,
214,-0.72,
215,-0.7000000000000001,
216,-0.68,
217,-0.66,
218,-0.64,
219,-0.62,
220,-0.6,
221,-0.58,
222,-0.56,
223,-0.54,
224,-0.52,
225,-0.5,
226,-0.48,
227,-0.46,
228,-0.44,
229,-0.42,
230,-0.4,
231,-0.38,
232,-0.36,
233,-0.34,
234,-0.32,
235,-0.3,
236,-0.28,
237,-0.26,
238,-0.24,
239,-0.22,
240,-0.2,
241,-0.18,
242,-0.16,
243,-0.14,
244,-0.12,
245,-0.1,
246,-0.08,
247,-0.06,
248,-0.04,
249,-0.02,
250,0.0,
251,0.02,
252,0.04,
253,0.06,
254,0.08,
255,0.1,
256,0.12,
257,0.14,
258,0.16,
259,0.18,
260,0.2,
261,0.22,
262,0.24,
263,0.26,
264,0.28,
265,0.3,
266,0.32,
267,0.34,
268,0.36,
269,0.38,
270,0.4,
271,0.42,
272,0.44,
273,0.46,
274,0.48,
275,0.5,
276,0.52,
277,0.54,
278,0.56,
279,0.58,
280,0.6,
281,0.62,
282,0.64,
283,0.66,
284,0.68,
285,0.7000000000000001,
286,0.72,
287,0.74,
288,0.76,
289,0.78,
290,0.8,
291,0.8200000000000001,
292,0.84,
293,0.86,
294,0.88,
295,0.9,
296,0.92,
297,0.9400000000000001,
298,0.96,
299,0.98,
300,1.0,
301,1.02,
302,1.04,
303,1.06,
304,1.08,
305,1.1,
306,1.12,
307,1.1400000000000001,
308,1.16,
309,1.18,
310,1.2,
311,1.22,
312,1.24,
313,1.26,
314,1.28,
315,1.3,
316,1.32,
317,1.34,
318,1.36,
319,1.3800000000000001,
320,1.4000000000000001,
321,1.42,
322,1.44,
323,1.46,
324,1.48,
325,1.5,
326,1.52,
327,1.54,
328,1.56,
329,1.58,
330,1.6,
331,1.62,
332,1.6400000000000001,
333,1.6600000000000001,
334,1.68,
335,1.7,
336,1.72,
337,1.74,
338,1.76,
339,1.78,
340,1.8,
341,1.82,
342,1.84,
343,1.86,
344,1.8800000000000001,
345,1.9000000000000001,
346,1.92,
347,1.94,
348,1.96,
349,1.98,
350,2.0,
351,2.02,
352,2.04,
353,2.06,
354,2.08,
355,2.1,
356,2.12,
357,2.14,
358,2.16,
359,2.18,
360,2.2,
361,2.22,
362,2.24,
363,2.2600000000000002,
364,2.2800000000000002,
365,2.3000000000000003,
366,2.32,
367,2.34,
368,2.36,
369,2.38,
370,2.4,
371,2.42,
372,2.44,
373,2.46,
374,2.48,
375,2.5,
376,2.52,
377,2.54,
378,2.56,
379,2.58,
380,2.6,
381,2.62,
382,2.64,
383,2.66,
384,2.68,
385,2.7,
386,2.72,
387,2.74,
388,2.7600000000000002,
389,2.7800000000000002,
390,2.8000000000000003,
391,2.82,
392,2.84,
393,2.86,
394,2.88,
395,2.9,
396,2.92,
397,2.94,
398,2.96,
399,2.98,
400,3.0,
401,3.02,
402,3.04,
403,3.06,
404,3.08,
405,3.1,
406,3.12,
407,3.14,
408,3.16,
409,3.18,
410,3.2,
411,3.22,
412,3.24,
413,3.2600000000000002,
414,3.2800000000000002,
415,3.3000000000000003,
416,3.3200000000000003,
417,3.34,
418,3.36,
419,3.38,
420,3.4,
421,3.42,
422,3.44,
423,3.46,
424,3.48,
425,3.5,
426,3.52,
427,3.54,
428,3.56,
429,3.58,
430,3.6,
431,3.62,
432,3.64,
433,3.66,
434,3.68,
435,3.7,
436,3.72,
437,3.74,
438,3.7600000000000002,
439,3.7800000000000002,
440,3.8000000000000003,
441,3.8200000000000003,
442,3.84,
443,3.86,
444,3.88,
445,3.9,
446,3.92,
447,3.94,
448,3.96,
449,3.98,
450,4.0,
451,4.0200000000000005,
452,4.04,
453,4.0600000000000005,
454,4.08,
455,4.1,
456,4.12,
457,4.14,
458,4.16,
459,4.18,
460,4.2,
461,4.22,
462,4.24,
463,4.26,
464,4.28,
465,4.3,
466,4.32,
467,4.34,
468,4.36,
469,4.38,
470,4.4,
471,4.42,
472,4.44,
473,4.46,
474,4.48,
475,4.5,
476,4.5200000000000005,
477,4.54,
478,4.5600000000000005,
479,4.58,
480,4.6000000000000005,
481,4.62,
482,4.64,
483,4.66,
484,4.68,
485,4.7,
486,4.72,
487,4.74,
488,4.76,
489,4.78,
490,4.8,
491,4.82,
492,4.84,
493,4.86,
494,4.88,
495,4.9,
496,4.92,
497,4.94,
498,4.96,
499,4.98,
500,5.0,
