# harmonic_potential   x_max = 5.000   nx = 501   N_iter = 12   beta_ini = 4.000   beta_fin = 0.001
,Position x,Prob. density
0,-5.0,1.2241905083871337e-12
1,-4.98,3.1830464988182496e-12
2,-4.96,6.366251681931085e-12
3,-4.94,1.08270333121858e-11
4,-4.92,1.6691010289216752e-11
5,-4.9,2.4162187774027976e-11
6,-4.88,3.349724253159315e-11
7,-4.86,4.501060189273858e-11
8,-4.84,5.908616397056534e-11
9,-4.82,7.61886848629819e-11
10,-4.8,9.687720415473328e-11
11,-4.78,1.2182127022440275e-10
12,-4.76,1.5182023332383725e-10
13,-4.74,1.878260734108988e-10
14,-4.72,2.3097034201935924e-10
15,-4.7,2.8259588700295696e-10
16,-4.68,3.4429413870438105e-10
17,-4.66,4.1794886361498093e-10
18,-4.64,5.057874373209453e-10
19,-4.62,6.104408554860696e-10
20,-4.6000000000000005,7.350138929703854e-10
21,-4.58,8.831670403650021e-10
22,-4.5600000000000005,1.0592120981149304e-09
23,-4.54,1.2682235953673002e-09
24,-4.5200000000000005,1.5161685286222662e-09
25,-4.5,1.8100572896774916e-09
26,-4.48,2.1581190794064702e-09
27,-4.46,2.5700055904996373e-09
28,-4.44,3.057027296140636e-09
29,-4.42,3.6324273113123393e-09
30,-4.4,4.311698508639079e-09
31,-4.38,5.11295038208898e-09
32,-4.36,6.057333071390316e-09
33,-4.34,7.1695270008969264e-09
34,-4.32,8.478307763536809e-09
35,-4.3,1.0017197209653669e-08
36,-4.28,1.1825213199959184e-08
37,-4.26,1.3947732171299423e-08
38,-4.24,1.64374805653453e-08
39,-4.22,1.935567330771307e-08
40,-4.2,2.2773319924802345e-08
41,-4.18,2.6772721576803045e-08
42,-4.16,3.144918529954985e-08
43,-4.14,3.69129851198793e-08
44,-4.12,4.3291603476625046e-08
45,-4.1,5.073229058355856e-08
46,-4.08,5.940498405609866e-08
47,-4.0600000000000005,6.950563633900365e-08
48,-4.04,8.126000326991831e-08
49,-4.0200000000000005,9.492795355027059e-08
50,-4.0,1.1080836603161484e-07
51,-3.98,1.2924468962766637e-07
52,-3.96,1.5063124940044313e-07
53,-3.94,1.754203920182693e-07
54,-3.92,2.0413057442437484e-07
55,-3.9,2.3735551127288453e-07
56,-3.88,2.7577450957488167e-07
57,-3.86,3.2016413314706794e-07
58,-3.84,3.714113549705345e-07
59,-3.8200000000000003,4.3052837255392874e-07
60,-3.8000000000000003,4.986692799654496e-07
61,-3.7800000000000002,5.771488104680632e-07
62,-3.7600000000000002,6.674633857834334e-07
63,-3.74,7.713147320474479e-07
64,-3.72,8.906363486333385e-07
65,-3.7,1.0276231443393727e-06
66,-3.68,1.1847645861021026e-06
67,-3.66,1.3648817385395393e-06
68,-3.64,1.5711686083888315e-06
69,-3.62,1.807238246416694e-06
70,-3.6,2.07717410078325e-06
71,-3.58,2.3855871602625634e-06
72,-3.56,2.7376794732930218e-06
73,-3.54,3.139314679667744e-06
74,-3.52,3.597096245890041e-06
75,-3.5,4.118454152911641e-06
76,-3.48,4.711740846226991e-06
77,-3.46,5.386337323184844e-06
78,-3.44,6.152770300946858e-06
79,-3.42,7.0228414807984374e-06
80,-3.4,8.009770000497776e-06
81,-3.38,9.1283492460033e-06
82,-3.36,1.0395119277181495e-05
83,-3.34,1.1828556208858848e-05
84,-3.3200000000000003,1.344927997869576e-05
85,-3.3000000000000003,1.5280282026627203e-05
86,-3.2800000000000002,1.7347174506781392e-05
87,-3.2600000000000002,1.9678462751548076e-05
88,-3.24,2.2305842808439918e-05
89,-3.22,2.5264525973137386e-05
90,-3.2,2.8593592346102905e-05
91,-3.18,3.2336375544800996e-05
92,-3.16,3.654088080817485e-05
93,-3.14,4.1260238833836674e-05
94,-3.12,4.6553197790548926e-05
95,-3.1,5.248465604803691e-05
96,-3.08,5.912623826189786e-05
97,-3.06,6.65569175421674e-05
98,-3.04,7.486368651866851e-05
99,-3.02,8.414228019318297e-05
100,-3.0,9.449795353621123e-05
101,-2.98,0.00010604631684296835
102,-2.96,0.00011891423190752492
103,-2.94,0.00013324077210375224
104,-2.92,0.0001491782494749505
105,-2.9,0.0001668933119286168
106,-2.88,0.00018656811360651045
107,-2.86,0.0002084015614506636
108,-2.84,0.00023261064091085513
109,-2.82,0.00025943182363580145
110,-2.8000000000000003,0.00028912255985636813
111,-2.7800000000000002,0.0003219628580018226
112,-2.7600000000000002,0.0003582569538869004
113,-2.74,0.0003983350715655664
114,-2.72,0.00044255527766415054
115,-2.7,0.0004913054306793761
116,-2.68,0.0005450052263531395
117,-2.66,0.0006041083398132043
118,-2.64,0.0006691046646949361
119,-2.62,0.0007405226489315413
120,-2.6,0.0008189317263170168
121,-2.58,0.0009049448423053783
122,-2.56,0.000999221071810132
123,-2.54,0.0011024683260082429
124,-2.52,0.0012154461443321964
125,-2.5,0.001338968566951638
126,-2.48,0.0014739070821025485
127,-2.46,0.001621193641617549
128,-2.44,0.0017818237369466652
129,-2.42,0.0019568595268353943
130,-2.4,0.0021474330066485895
131,-2.38,0.0023547492080973477
132,-2.36,0.0025800894168453896
133,-2.34,0.0028248143941461672
134,-2.32,0.003090367587296776
135,-2.3000000000000003,0.0033782783122963942
