# Partition function at several temperatures
# harmonic_potential   beta_max = 10.000   beta_min = 2.000   N_temp = 10   x_max = 7.000   nx = 201   N_iter = 7
,beta,temperature,Z
0,10.0,0.1,0.00674682139079406
1,9.11111111111111,0.10975609756097561,0.010519930023459832
2,8.222222222222221,0.12162162162162163,0.016405549956712253
3,7.333333333333334,0.13636363636363635,0.025591087758774125
4,6.444444444444445,0.15517241379310345,0.03994346027345113
5,5.555555555555555,0.18,0.062431539726631555
6,4.666666666666667,0.21428571428571427,0.09790539582759313
7,3.7777777777777786,0.2647058823529411,0.1547912245773293
8,2.8888888888888893,0.3461538461538461,0.24978256817812627
9,2.0,0.5,0.4254647468257538
