# harmonic_potential   x_max = 5.000   nx = 501   N_iter = 15   beta_ini = 4.000   beta_fin = 0.000
,Position x,Prob. density
0,-5.0,3.2463985515643193e-13
1,-4.98,1.3014068810402778e-12
2,-4.96,2.9670135541609817e-12
3,-4.94,5.383182092711615e-12
4,-4.92,8.638539997449595e-12
5,-4.9,1.2851221033070072e-11
6,-4.88,1.817248036649233e-11
7,-4.86,2.4791376946177124e-11
8,-4.84,3.294064467022246e-11
9,-4.82,4.2903908119404454e-11
10,-4.8,5.5024436508553616e-11
11,-4.78,6.971567154163962e-11
12,-4.76,8.747381210120928e-11
13,-4.74,1.0889279229047433e-10
14,-4.72,1.346820505084639e-10
15,-4.7,1.6568755733442944e-10
16,-4.68,2.0291665054219298e-10
17,-4.66,2.475673182547503e-10
18,-4.64,3.010626779946337e-10
19,-4.62,3.6509152233930273e-10
20,-4.6000000000000005,4.4165594348761655e-10
21,-4.58,5.331272120330775e-10
22,-4.5600000000000005,6.423112727293693e-10
23,-4.54,7.725254355421398e-10
24,-4.5200000000000005,9.27688087767268e-10
25,-4.5,1.1124235369439463e-09
26,-4.48,1.3321844197395199e-09
27,-4.46,1.593394484617655e-09
28,-4.44,1.903614982303585e-09
29,-4.42,2.271738385009789e-09
30,-4.4,2.7082137111199875e-09
31,-4.38,3.2253083655695725e-09
32,-4.36,3.837412127573723e-09
33,-4.34,4.561389737911263e-09
34,-4.32,5.416989470210004e-09
35,-4.3,6.427316128597331e-09
36,-4.28,7.619378113199303e-09
37,-4.26,9.024719552574918e-09
38,-4.24,1.0680150037356198e-08
39,-4.22,1.2628586223332478e-08
40,-4.2,1.4920021528312178e-08
41,-4.18,1.7612642351161575e-08
42,-4.16,2.07741117218038e-08
43,-4.14,2.4483044078950855e-08
44,-4.12,2.883069800211578e-08
45,-4.1,3.392291723362799e-08
46,-4.08,3.98823542558628e-08
47,-4.0600000000000005,4.685101508357567e-08
48,-4.04,5.499316883980192e-08
49,-4.0200000000000005,6.44986711590312e-08
50,-4.0,7.55867565613262e-08
51,-3.98,8.851036172711259e-08
52,-3.96,1.0356104914236283e-07
53,-3.94,1.2107460894998787e-07
54,-3.92,1.4143742611292493e-07
55,-3.9,1.6509371025165223e-07
56,-3.88,1.9255369685240036e-07
57,-3.86,2.2440294104756895e-07
58,-3.84,2.6131283894797135e-07
59,-3.8200000000000003,3.0405252666485186e-07
60,-3.8000000000000003,3.5350232381192104e-07
61,-3.7800000000000002,4.1066890654280837e-07
62,-3.7600000000000002,4.767024151840296e-07
63,-3.74,5.52915723398739e-07
64,-3.72,6.40806119698597e-07
65,-3.7,7.420796781532079e-07
66,-3.68,8.586786234748069e-07
67,-3.66,9.928120264312531e-07
68,-3.64,1.146990198916871e-06
69,-3.62,1.3240631941447669e-06
70,-3.6,1.5272638564733664e-06
71,-3.58,1.76025590750192e-06
72,-3.56,2.027187600420225e-06
73,-3.54,2.3327515233302424e-06
74,-3.52,2.682251184518693e-06
75,-3.5,3.081675068590948e-06
76,-3.48,3.5377789121079505e-06
77,-3.46,4.0581770110179555e-06
78,-3.44,4.651443439845841e-06
79,-3.42,5.32722413437932e-06
80,-3.4,6.096360865534848e-06
81,-3.38,6.97102821223215e-06
82,-3.36,7.964884725460465e-06
83,-3.34,9.093239564252363e-06
84,-3.3200000000000003,1.0373235976920828e-05
85,-3.3000000000000003,1.1824053097560251e-05
86,-3.2800000000000002,1.3467127628267389e-05
87,-3.2600000000000002,1.5326397081624308e-05
88,-3.24,1.7428566365403926e-05
89,-3.22,1.9803399601835657e-05
90,-3.2,2.248403918672583e-05
91,-3.18,2.5507354208729125e-05
92,-3.16,2.8914320465535562e-05
93,-3.14,3.275043443098691e-05
