# harmonic_potential   x_max = 5.000   nx = 1001   N_beta = 12   beta_fin = 4.000
,Position x,Prob. density
0,-5.0,5.566979731198569e-12
1,-4.99,6.161403742474595e-12
2,-4.98,6.8178663137866465e-12
3,-4.97,7.542688928289592e-12
4,-4.96,8.342821073769938e-12
5,-4.95,9.225900966246513e-12
6,-4.94,1.0200321976633713e-11
7,-4.93,1.1275305279414032e-11
8,-4.92,1.2460979287872792e-11
9,-4.91,1.3768466489916411e-11
10,-4.9,1.5209978352125664e-11
11,-4.89,1.6798919017838514e-11
12,-4.88,1.854999858805886e-11
13,-4.87,2.0479356842255094e-11
14,-4.86,2.2604698330043584e-11
15,-4.8500000000000005,2.4945439844823317e-11
16,-4.84,2.7522871377100715e-11
17,-4.83,3.0360331739052205e-11
18,-4.82,3.348340015338001e-11
19,-4.8100000000000005,3.692010520930516e-11
20,-4.8,4.070115270729123e-11
21,-4.79,4.486017404245844e-11
22,-4.78,4.943399691541617e-11
23,-4.7700000000000005,5.4462940309165464e-11
24,-4.76,5.999113583271382e-11
25,-4.75,6.606687770696959e-11
26,-4.74,7.274300385737686e-11
27,-4.73,8.007731078161995e-11
28,-4.72,8.813300508076211e-11
29,-4.71,9.697919477953564e-11
30,-4.7,1.0669142381753805e-10
31,-4.69,1.1735225336911341e-10
32,-4.68,1.2905189394730684e-10
33,-4.67,1.4188889256795903e-10
34,-4.66,1.5597087959554872e-10
35,-4.65,1.71415380264523e-10
36,-4.64,1.8835069627062996e-10
37,-4.63,2.069168632581568e-10
38,-4.62,2.2726669049330146e-10
39,-4.61,2.495668895134055e-10
40,-4.6000000000000005,2.7399929907915356e-10
41,-4.59,3.0076221433462997e-10
42,-4.58,3.300718287012906e-10
43,-4.57,3.6216379769954856e-10
44,-4.5600000000000005,3.972949346089027e-10
45,-4.55,4.357450486481055e-10
46,-4.54,4.778189371841804e-10
47,-4.53,5.238485443674565e-10
48,-4.5200000000000005,5.741952995429393e-10
49,-4.51,6.292526498113634e-10
50,-4.5,6.894488022102985e-10
51,-4.49,7.552496921623757e-10
52,-4.48,8.271621960988387e-10
53,-4.47,9.057376075185845e-10
54,-4.46,9.91575397191115e-10
55,-4.45,1.085327279763369e-09
56,-4.44,1.1877016106914753e-09
57,-4.43,1.2994681391971365e-09
58,-4.42,1.4214631448515101e-09
59,-4.41,1.554594987426022e-09
60,-4.4,1.6998501018273844e-09
61,-4.39,1.8582994722634474e-09
62,-4.38,2.0311056222759295e-09
63,-4.37,2.2195301599370925e-09
64,-4.36,2.424941920349535e-09
65,-4.3500000000000005,2.6488257506246745e-09
66,-4.34,2.892791985756931e-09
67,-4.33,3.1585866672706917e-09
68,-4.32,3.44810256020997e-09
69,-4.3100000000000005,3.763391027978966e-09
70,-4.3,4.1066748287431736e-09
71,-4.29,4.48036190157903e-09
72,-4.28,4.887060215334182e-09
73,-4.2700000000000005,5.329593758245935e-09
74,-4.26,5.8110197517844755e-09
75,-4.25,6.334647177955818e-09
76,-4.24,6.904056715442706e-09
77,-4.23,7.523122186496304e-09
78,-4.22,8.196033623447242e-09
79,-4.21,8.927322071099444e-09
80,-4.2,9.721886249135896e-09
81,-4.19,1.0585021207021796e-08
82,-4.18,1.1522449112775561e-08
83,-4.17,1.2540352326410284e-08
84,-4.16,1.36454089188713e-08
85,-4.15,1.4844830807927547e-08
86,-4.14,1.614640469376729e-08
87,-4.13,1.755853598902111e-08
88,-4.12,1.9090295950640428e-08
89,-4.11,2.0751472234522734e-08
90,-4.1,2.255262310805291e-08
91,-4.09,2.450513557085039e-08
92,-4.08,2.662128765003718e-08
93,-4.07,2.891431515329925e-08
94,-4.0600000000000005,3.1398483180975795e-08
95,-4.05,3.4089162717410245e-08
96,-4.04,3.700291264189743e-08
97,-4.03,4.015756752082235e-08
98,-4.0200000000000005,4.3572331565050184e-08
99,-4.01,4.726787916038313e-08
100,-4.0,5.126646240398138e-08
101,-3.99,5.55920261061487e-08
102,-3.98,6.027033074484401e-08
103,-3.97,6.532908388981068e-08
104,-3.96,7.07980806443569e-08
105,-3.95,7.670935368566072e-08
106,-3.94,8.309733351911253e-08
107,-3.93,8.999901959869056e-08
108,-3.92,9.745416300382712e-08
109,-3.91,1.0550546140370271e-07
110,-3.9,1.1419876708255075e-07
111,-3.89,1.2358330884440331e-07
112,-3.88,1.3371192866292814e-07
113,-3.87,1.446413339916218e-07
114,-3.86,1.5643236670183028e-07
115,-3.85,1.6915028967088127e-07
116,-3.84,1.8286509210024323e-07
117,-3.83,1.9765181470409038e-07
118,-3.8200000000000003,2.1359089597218989e-07
119,-3.81,2.3076854077761277e-07
120,-3.8000000000000003,2.492771126696973e-07
121,-3.79,2.692155512659614e-07
122,-3.7800000000000002,2.9068981623344497e-07
123,-3.77,3.138133594304749e-07
124,-3.7600000000000002,3.3870762686406123e-07
125,-3.75,3.6550259220641644e-07
126,-3.74,3.9433732370634353e-07
127,-3.73,4.253605864278756e-07
128,-3.72,4.5873148184944964e-07
129,-3.71,4.946201269625044e-07
130,-3.7,5.332083751185637e-07
131,-3.69,5.746905809890897e-07
132,-3.68,6.192744121224909e-07
133,-3.67,6.671817097081577e-07
134,-3.66,7.186494012880934e-07
135,-3.65,7.73930468293174e-07
136,-3.64,8.33294971423011e-07
137,-3.63,8.97031137036531e-07
138,-3.62,9.65446507874306e-07
139,-3.61,1.0388691615941582e-06
140,-3.6,1.1176490007681426e-06
141,-3.59,1.2021591181626225e-06
142,-3.58,1.2927972413030802e-06
143,-3.5700000000000003,1.3899872605126745e-06
144,-3.56,1.4941808448076648e-06
145,-3.5500000000000003,1.6058591502345114e-06
146,-3.54,1.7255346254425815e-06
147,-3.5300000000000002,1.8537529195029465e-06
148,-3.52,1.991094897208619e-06
149,-3.5100000000000002,2.1381787673237515e-06
150,-3.5,2.295662329490367e-06
151,-3.49,2.4642453457497416e-06
152,-3.48,2.6446720428934227e-06
153,-3.47,2.83773375212424e-06
154,-3.46,3.044271692782922e-06
155,-3.45,3.2651799071788363e-06
156,-3.44,3.5014083538561857e-06
157,-3.43,3.753966166928048e-06
158,-3.42,4.0239250894214865e-06
159,-3.41,4.312423088896298e-06
160,-3.4,4.620668163929388e-06
161,-3.39,4.9499423503943814e-06
162,-3.38,5.301605936814423e-06
163,-3.37,5.677101898422187e-06
164,-3.36,6.0779605599281785e-06
165,-3.35,6.5058044973731825e-06
166,-3.34,6.962353689826347e-06
167,-3.33,7.449430932083452e-06
168,-3.3200000000000003,7.968967519924001e-06
169,-3.31,8.523009219896983e-06
