# pi(x;beta_fin) computed using matrix squaring algorithm and Trotter approximation. Parameters:
# anharmonic_potential   x_max = 5.000   nx = 201   N_iter = 9   beta_ini = 0.008   beta_fin = 4.000
,position_x,prob_density
0,-5.0,1.0824520723790192e-61
1,-4.95,5.315035680431698e-60
2,-4.9,2.424014112995947e-58
3,-4.8500000000000005,1.0276601148107802e-56
4,-4.800000000000001,4.052897312179273e-55
5,-4.75,1.4879751106870845e-53
6,-4.7,5.0892238201508835e-52
7,-4.65,1.6227253961839039e-50
8,-4.6000000000000005,4.827117173380991e-49
9,-4.55,1.3405766630213222e-47
10,-4.5,3.478308571445926e-46
11,-4.45,8.437791384274641e-45
12,-4.4,1.915072529861176e-43
13,-4.3500000000000005,4.06957385586634e-42
14,-4.3,8.102729936218901e-41
15,-4.25,1.5126690874819526e-39
16,-4.2,2.6497079915343353e-38
17,-4.15,4.358177917052552e-37
18,-4.1000000000000005,6.735596416918706e-36
19,-4.05,9.788645269983625e-35
20,-4.0,1.3386153264572329e-33
21,-3.95,1.7237999827198193e-32
22,-3.9000000000000004,2.091832971483114e-31
23,-3.85,2.393797109435701e-30
24,-3.8000000000000003,2.5851098170433157e-29
25,-3.75,2.636410773060957e-28
26,-3.7,2.5409765340451366e-27
27,-3.6500000000000004,2.3160758560817296e-26
28,-3.6,1.997930994230714e-25
29,-3.5500000000000003,1.6322804611374051e-24
30,-3.5,1.2638824058678171e-23
31,-3.45,9.281691345355233e-23
32,-3.4000000000000004,6.469446250178229e-22
33,-3.35,4.28289650601572e-21
34,-3.3000000000000003,2.6949423227617828e-20
35,-3.25,1.6129233235261518e-19
36,-3.2,9.18842850289266e-19
37,-3.1500000000000004,4.985892833805425e-18
38,-3.1,2.57887161172175e-17
39,-3.0500000000000003,1.272367244271203e-16
40,-3.0,5.992418038428189e-16
41,-2.95,2.695935324242496e-15
42,-2.9000000000000004,1.1594324548527896e-14
43,-2.85,4.7700279056693157e-14
44,-2.8000000000000003,1.8786536786702737e-13
45,-2.75,7.088163453851639e-13
46,-2.7,2.5638507928163046e-12
47,-2.6500000000000004,8.896816261524602e-12
48,-2.6,2.963945103255304e-11
49,-2.5500000000000003,9.486590157328718e-11
50,-2.5,2.9192099829559576e-10
51,-2.45,8.642641191257371e-10
52,-2.4000000000000004,2.463566456846046e-09
53,-2.35,6.76595944990256e-09
54,-2.3000000000000003,1.791646865441238e-08
55,-2.25,4.577663824256794e-08
56,-2.2,1.1293129367956044e-07
57,-2.15,2.6919935483805624e-07
58,-2.1,6.204878779994674e-07
59,-2.0500000000000003,1.383892348222336e-06
60,-2.0,2.988759915265223e-06
61,-1.9500000000000002,6.25474036296362e-06
62,-1.9000000000000001,1.2693070487474048e-05
63,-1.85,2.499612097006381e-05
64,-1.8,4.780090905328841e-05
65,-1.75,8.883131068246808e-05
66,-1.7000000000000002,0.0001605353740843566
67,-1.6500000000000001,0.0002823307116231937
68,-1.6,0.0004835436009046524
69,-1.55,0.0008070680312126786
70,-1.5,0.001313674614643442
71,-1.4500000000000002,0.002086767301143193
72,-1.4000000000000001,0.0032372280251215255
73,-1.35,0.004907825264653339
74,-1.3,0.007276520089453586
75,-1.25,0.010557915600023351
76,-1.2000000000000002,0.015002094625692186
77,-1.1500000000000001,0.020890199683845048
78,-1.1,0.02852633669112912
79,-1.05,0.03822571781993944
80,-1.0,0.05029936611748959
81,-0.9500000000000001,0.06503613429766468
82,-0.9,0.08268318174755439
83,-0.8500000000000001,0.10342634700080082
84,-0.8,0.12737199894534398
85,-0.75,0.15453192074837374
86,-0.7000000000000001,0.18481257380554672
87,-0.65,0.2180097292991981
88,-0.6000000000000001,0.2538089885047595
89,-0.55,0.2917921999020256
90,-0.5,0.33144928514239375
91,-0.45,0.3721945643626859
92,-0.4,0.41338636725503664
93,-0.35000000000000003,0.4543485536082927
94,-0.30000000000000004,0.49439254933343063
95,-0.25,0.5328386166837605
96,-0.2,0.5690352922129842
97,-0.15000000000000002,0.6023762068024209
98,-0.1,0.63231381060958
99,-0.05,0.6583698268115175
100,0.0,0.6801425229209321
101,0.05,0.6973110972378455
102,0.1,0.709637619755768
103,0.15000000000000002,0.7169670390344771
104,0.2,0.7192257735331938
105,0.25,0.716419357069567
106,0.30000000000000004,0.708629516058537
107,0.35000000000000003,0.6960109352673225
108,0.4,0.6787878337130747
109,0.45,0.6572503373352885
110,0.5,0.6317505135360935
111,0.55,0.6026978365677083
112,0.6000000000000001,0.5705537922707961
113,0.65,0.5358253138039254
114,0.7000000000000001,0.49905677184797254
115,0.75,0.4608203247557523
116,0.8,0.42170456320273786
117,0.8500000000000001,0.38230155187503184
118,0.9,0.3431925639380574
119,0.9500000000000001,0.30493300365853504
120,1.0,0.2680371958246505
121,1.05,0.2329638628724382
122,1.1,0.20010318831281396
123,1.1500000000000001,0.16976635920823616
124,1.2000000000000002,0.14217838031824467
125,1.25,0.11747475855792631
126,1.3,0.09570238189656168
127,1.35,0.07682458769306205
128,1.4000000000000001,0.0607300677973528
129,1.4500000000000002,0.04724493316819255
130,1.5,0.036147000309196604
131,1.55,0.027181199324751958
132,1.6,0.020074959580516707
133,1.6500000000000001,0.014552507640156542
134,1.7000000000000002,0.010347199369808317
135,1.75,0.007211274482465514
136,1.8,0.004922727815625069
137,1.85,0.003289294668445211
138,1.9000000000000001,0.002149809167047534
139,1.9500000000000002,0.0013733867893230842
140,2.0,0.0008569907249969906
141,2.0500000000000003,0.000521967104578209
142,2.1,0.0003100890827731876
143,2.15,0.0001795551917474392
144,2.2,0.00010126719342592785
