# harmonic_potential   x_max = 5.000   nx = 1001   N_iter = 16   beta_ini = 4.000   beta_fin = 0.000
,Position x,Prob. density
97,-4.03,8.767000752256566e-08
98,-4.0200000000000005,9.474882919126754e-08
99,-4.01,1.0237920494540392e-07
100,-4.0,1.1060247215612206e-07
101,-3.99,1.1946293469196844e-07
102,-3.98,1.2900806555673915e-07
103,-3.97,1.392887225983435e-07
104,-3.96,1.5035937807609617e-07
105,-3.95,1.6227836291712716e-07
106,-3.94,1.7510812653835804e-07
107,-3.93,1.8891551315833542e-07
108,-3.92,2.037720555734698e-07
109,-3.91,2.1975428742580868e-07
110,-3.9,2.36944075044667e-07
111,-3.89,2.5542897000213556e-07
112,-3.88,2.7530258358302864e-07
113,-3.87,2.9666498443302885e-07
114,-3.86,3.196231207151026e-07
115,-3.85,3.4429126817339624e-07
116,-3.84,3.707915055763203e-07
117,-3.83,3.9925421908606737e-07
118,-3.8200000000000003,4.298186371809155e-07
119,-3.81,4.626333978393258e-07
120,-3.8000000000000003,4.978571497803886e-07
121,-3.79,5.356591896459292e-07
122,-3.7800000000000002,5.762201371025828e-07
123,-3.77,6.197326499402478e-07
124,-3.7600000000000002,6.664021813449674e-07
125,-3.75,7.164477816305262e-07
126,-3.74,7.701029468233613e-07
127,-3.73,8.276165166104825e-07
128,-3.72,8.892536242795623e-07
129,-3.71,9.552967014049097e-07
130,-3.7,1.0260465401621082e-06
131,-3.69,1.1018234162887175e-06
132,-3.68,1.1829682758476123e-06
133,-3.67,1.269843989094725e-06
134,-3.66,1.3628366749028568e-06
135,-3.65,1.4623570993494234e-06
136,-3.64,1.5688421522372445e-06
137,-3.63,1.6827564054851717e-06
138,-3.62,1.8045937574984206e-06
139,-3.61,1.934879167808253e-06
140,-3.6,2.0741704864559196e-06
141,-3.59,2.2230603827882844e-06
142,-3.58,2.3821783785303264e-06
143,-3.5700000000000003,2.552192990205287e-06
144,-3.56,2.7338139861855583e-06
145,-3.5500000000000003,2.9277947638724807e-06
146,-3.54,3.1349348527336144e-06
147,-3.5300000000000002,3.3560825491539873e-06
148,-3.52,3.5921376892992026e-06
149,-3.5100000000000002,3.844054566433392e-06
150,-3.5,4.112844999389527e-06
151,-3.49,4.399581559148947e-06
152,-3.48,4.705400960756063e-06
153,-3.47,5.031507628067987e-06
154,-3.46,5.379177439122404e-06
155,-3.45,5.749761660195292e-06
156,-3.44,6.144691076918386e-06
157,-3.43,6.565480331128798e-06
158,-3.42,7.013732472435961e-06
159,-3.41,7.491143733807894e-06
160,-3.4,7.99950854080579e-06
161,-3.39,8.54072476442636e-06
162,-3.38,9.116799227852726e-06
163,-3.37,9.729853477757605e-06
164,-3.36,1.0382129831158265e-05
165,-3.35,1.1075997709177245e-05
166,-3.34,1.1813960269431756e-05
167,-3.33,1.2598661349140943e-05
168,-3.3200000000000003,1.3432892731419109e-05
169,-3.31,1.431960174760865e-05
170,-3.3000000000000003,1.5261899228874368e-05
171,-3.29,1.6263067820699188e-05
172,-3.2800000000000002,1.7326570674293865e-05
