# Optimization of parameters dx and beta_ini of matrix squaring algorithm
# harmonic_potential   beta_fin = 4.000   x_max = 5.000   nx_min = 10   nx_max = 311   nx_sampling = 60 N_iter_min = 8   N_iter_max = 20
,0.03225806451612903,0.04,0.05263157894736842,0.07692307692307693,0.14285714285714285,1.0
3.814697265625e-06,0.4653149644211759,0.4653149644211759,0.4653149644211759,0.4653149644211759,0.4653149644211759,0.4653149644211759
7.62939453125e-06,0.4653149644211759,0.4653149644211759,0.4653149644211759,0.4653149644211759,0.4653149644211759,0.4653149644211759
1.52587890625e-05,0.4653149644211759,0.4653149644211759,0.4653149644211759,0.4653149644211759,0.4653149644211759,0.4653149644211759
3.0517578125e-05,0.4653149644211759,0.4653149644211759,0.4653149644211759,0.4653149644211759,0.4653149644211759,0.4653149644211759
6.103515625e-05,0.4653149644211759,0.4653149644211759,0.4653149644211759,0.4653149644211759,0.4653149644211759,0.4653149644211759
0.0001220703125,0.4653149644211759,0.4653149644211759,0.4653149644211759,0.4653149644211759,0.4653149644211759,0.4653149644211759
0.000244140625,0.039192579096243865,0.4653149644211759,0.4653149644211759,0.4653149644211759,0.4653149644211759,0.4653149644211759
0.00048828125,0.0007291711971870602,0.012269328620260896,0.09879609043859539,0.4653149644211759,0.4653149644211759,0.4653149644211759
0.0009765625,1.9491195151895948e-07,5.873531174100537e-05,0.005530546344352198,0.11749263530480718,0.4653149644211759,0.4653149644211759
0.001953125,2.2009036392456926e-07,2.206389883730638e-07,1.0774777431171765e-05,0.008127532925385064,0.28812408719142313,0.4653149644211759
0.00390625,8.785652534539354e-07,8.780165288491969e-07,8.786648567562649e-07,2.5219976554727695e-05,0.07885417102855476,0.4653149644211759
0.0078125,3.51258771869307e-06,3.510446770102404e-06,3.5131151560675795e-06,3.514767836484174e-06,0.0033824794609643547,0.4653149644211759
0.015625,1.4048553946823342e-05,1.4040031908405239e-05,1.4050842406987809e-05,1.4057140035508054e-05,1.788231421535626e-05,0.4653149644211759
